filename_only	use_xml	title	title_locations	methods_sections	content_locations	content_locations_filtered	location_sentences
WANG, LIU et al. - DRYLAND CROP CLASSIFICATION COMBINING MULTITYPE	True	Dryland Crop Classification Combining Multitype Features and Multitemporal Quad-Polarimetric RADARSAT-2 Imagery in Hebei Plain, China	Hebei Plain, China	['2.11.. Study Site Description', '3. Methodology']	Fiigguurree; Hebei	Hebei	['The ssttuuddyy ssiittee ((3377°33000′––337°45′0 N, 115°15′0–115°3355′0 EE;; Fiigguurree 1) is llooccated iinn JJiizzhhoouu county,, Hebei provinccee,, CChhiinnaa..ThTihsiscocuonutnytywawsacshcohseonseans athsethsetusdtyudayrearbeeacabuecsaeuitselieits liinesthine tmheidmdildedolef oHfeHbeeibepilapilnaiannadndisisrerpeprerseesnentattaitvievneensesssooffththisisppllaaiinn iinn ccrroopp ppllaannttiinngg cchhaarraacctteerriissttiiccss..JJiizzhhoouucocouunntytyhahsaas taottaoltalalnldanadreaaroefa9o1f89k1m82k,man2d,aitnsdteirtrsatinerirsaflinatiasnfdlaotpaennd wopitehnawnietlhevaantieolnevraatniogne orafnapgeproofxaimpparteox2i3m–2a9tem2.3S–2a9ndmy.lSoaanmdaynldoalmighatnldoalmighcot mlopamrisecothmempraiisne stohiel tmypaeins wsoitihlitnypthees swtuitdhyinartehae, wsthuidcyh aarreeav,ewryhsiuchitaabrlee vfoerrythseuciutalbtilveatfioorntohfedcruylltaivnadctiroonpso.fTdhreylraengdiocnrohpass.aTsheemrie-ghiuomn ihdacsoantsienmeni-thalummoidnscooonntincleinmtaaltem.oTnhseoaovnercaligmeaatne.nTuhael taevmerpaegreataunrenuisal13te.1m0peCr.atTuhree aivse1r3a.g1e0 a°nCn.uTahl epraevceipraitgaetioannniusaalppprreocxiipmitaatteiolyn 4i6s1a.8p0pmromxi-, mmoastetloyf4w6h1.i8c0h mfamlls, dmuorsintgofJwulhyi–cShepfatlelmsdbuerr.ing July–September.']
WEI, ZHANG et al. - MULTITEMPORAL SAR DATA LARGESCALE CROP	True	Multi-Temporal SAR Data Large-Scale Crop Mapping Based on U-Net Model		['2. Methods', '3. Study Area and Data']	SAR; SAR; Umodel; Fuyu City	Umodel	['In this paper, a multi-temporal SAR data large-scale crop mapping algorithm based on the Umodel was proposed, and the flow of our method is shown in Figure 1.']
XIAO, XU et al. - MAPPING PADDY RICE WITH SENTINEL12	True	Mapping Paddy Rice with Sentinel-1/2 and Phenology-, Object-Based Algorithm-A Implementation in Hangjiahu Plain in China Using GEE Platform	Hangjiahu Plain in China	['2. Study Area and Datasets', '2.1. Study Area']	Zhejiang province, China; Yangtze Delta; Lake Tai; Qiantang RiverHangzhou Bay; Tianmu Mountains; Jiaxing,; Huzhou,; Hangzhou; Lake Tai; Grand Canal,; China; Zhejiang province,; Zhejiang province	Zhejiang province, China; Yangtze Delta; Qiantang RiverHangzhou Bay; Tianmu Mountains; Jiaxing,; Huzhou,; Hangzhou; Lake Tai; Grand Canal,; China; Zhejiang province,; Zhejiang province	['The Hangzhou–Jiaxing–Huzhou (HJH) Plain, or Hangjiahu Plain, is the largest plain in Zhejiang province, China and is an integral part of the Yangtze Delta.', 'and is bound by Lake Tai to the north, the Qiantang River/Hangzhou Bay to the south, and the Tianmu Mountains to the west.', 'It includes all of the prefecture-level city of Jiaxing, most of Huzhou, and the northeastern part of Hangzhou.', 'The topography is generally low-lying and flat at around a 3-m elevation, though it is slightly higher to the south and east with lower slopes towards Lake Tai.', 'Its river and canal network, including the Grand Canal, is 12.7 km per km2 (20.4 mi per sq.', '), which is the densest area in China.', '          The HJH Plain is the primary rice production region in Zhejiang province, which belongs to the single cropping japonica rice area [                       ].', 'The rice area accounts for 28.1% of all rice planting in Zhejiang province.']
XIE, LAI et al. - CROP MONITORING AND CLASSIFICATION USING	True	Crop Monitoring and Classification Using Polarimetric RADARSAT-2 Time-Series Data Across Growing Season: A Case Study in Southwestern Ontario, Canada	Southwestern Ontario, Canada	['2. Materials and Methods', '2.1. Study Site and Dataset']	London in southwestern Ontario, Canada	London in southwestern Ontario, Canada	['The study site is located in an agricultural area near the city of London in southwestern Ontario, Canada.']
XIE, WANG et al. - ON THE USE OF NEUMANN	True	On the Use of Neumann Decomposition for Crop Classification Using Multi-Temporal RADARSAT-2 Polarimetric SAR Data		['2. Study Site and RADARSAT-2 Dataset', '2.1. Study Site Description']	London, Ontario, Canada (	London, Ontario, Canada (	['The study site is located in London, Ontario, Canada (Lat/Lon, N42.8 /W81.5 ) and the Pauli RGBRiemmoateg\xa0Seenfsr.']
XIONG, THENKABAIL et al. - NOMINAL 30M CROPLAND EXTENT MAP	True	Nominal 30-m Cropland Extent Map of Continental Africa by Integrating Pixel-Based and Object-Based Algorithms Using Sentinel-2 and Landsat-8 Data on Google Earth Engine		['2. Materials', '2.1. Study Area', '3. Methods']	Africa; Africa; Africa; Africa	Africa; Africa; Africa; Africa	['          We have chosen the entire continent of Africa for the study area (Figure 1), which extends from approximately 38 N to 35 S , occupies 3037 million hectares (Mha), and has 7 distinct geologic and bio-geographic regions with varying land cover types [                       ].', 'Demographic changes of continental Africa are expected to be staggering in the 21st Century with population expected to increase from the current 1.2 billion to over 4 billion by the end of the Century [                       ].', 'Africa is endowed with a wide diversity of agro-ecological zones.', 'Thereby, a precise and accurate cropland extent map of Africa is of significant importance to study crop dynamics, water security, and food security.']
XU, ZHANG et al. - CROP CLASSIFICATION BASED ON TEMPORAL	True	Crop Classification Based on Temporal Information Using Sentinel-1 SAR Time-Series Data		['2. Methodology']			
YANG, WANG et al. - HIGHRESOLUTION RICE MAPPING BASED	True	Communication High-Resolution Rice Mapping Based on SNIC Segmentation and Multi-Source Remote Sensing Images		['2. Materials']	Xinghua City, Jiangsu Province, East China (; Xinghua City, Jiangsu Province, East China (; Mfaryo	Xinghua City, Jiangsu Province, East China (; Xinghua City, Jiangsu Province, East China (; Mfaryo	['The study area is located in Xinghua City, Jiangsu Province, East China (Figure 1).', 'The study area is located in Xinghua City, Jiangsu Province, East China (Figure 1).', 'The cropping system in the study area is mainly characterized by two cbroyptswaoyceraorpasnadypeaardadnydripcaedids ythreicmeaisinthseummaminersucrmopmwerhcorosepgwrohwosienggrsoewasionng season starts starts from Mfaryo mto MNaoyvetmoNbeorv.eTmhebaerv.eTrahgeeasvoewraigneg sdoawteinogf pdaadtedoyfrpicaedidnythriecestiundtyhaersetaudisy area is May']
YEKKEHKHANY, SAFARI et al. - A COMPARISON STUDY OF DIFFERENT	False	A Comparison Study of Different Kernel Functions for SVM-based Classification of Multi-temporal Polarimetry SAR Data		['2.  METHODOLOGY ']	SAR		
ZHANG, WANG et al. - CROP CLASSIFICATION USING MSCDN CLASSIFIER	False	Crop Classification Using MSCDN Classifier and Sparse Auto-Encoders with Non-Negativity Constraints for Multi-Temporal, Quad-Pol SAR Data		['2. Methodology', 'Method', 'Method', 'Method']	Len Duw Spw; LSTM		
ZHANG, WU - CROP CLASSIFICATION BY FORWARD NEURAL	False	Crop Classification by Forward Neural Network with Adaptive Chaotic Particle Swarm Optimization		[]			
ZHANG, WU et al. - MAPPING UPTODATE PADDY RICE EXTENT	True	Mapping up-to-Date Paddy Rice Extent at 10 M Resolution in China through the Integration of Optical and Synthetic Aperture Radar Images	China	['2. Materials', '2.1. Study Area', '3. Methodology']	China; Northeast, Yangtze River Basin; Pearl river Basin (; National Bureau of Statistics in China); National Bureau of Statistics in China); Heilongjiang, Hunan; Guangxi; Heilongjiang, Hunan; Guangxi; China; Guangxi (; China,; China	China; Northeast, Yangtze River Basin; Pearl river Basin (; Heilongjiang, Hunan; Guangxi; Heilongjiang, Hunan; Guangxi; China; Guangxi (; China,; China	['          China has approximately 120 million ha of agricultural land, of which 25–30% are used for paddy rice production [                       ].', 'Paddy rice cultivation is practiced in almost every province, the main rice producing areas are in the Northeast, Yangtze River Basin and Pearl river Basin (Figure 2).', 'The Heilongjiang, Hunan and Guangxi provinces, which are the region and a mixed region.', 'The Heilongjiang, Hunan and Guangxi provinces, which are the largest largest producers of the three different area types, were selected as the study area in this paper.', 'Based on the different rice cropping seasons, paddy rice in China can be divided into three araegarsi:cuMltounraol-,cldi mouabtelec-ocnrodpitpioends roifctehaenpdlamntixnegda.reTah.eIncgroenpesreaal,snoonrtihs odfettheermYainnegdtzbeyRitvheeraagnrdiciunlthueral cliwmeastteercno-nmdoitsitonpslaocfesth,eonpllyanotninegriacreeah.aIrnvegsetnoecrcaul,rsnopretrh yoefatrh.eSYoaunthgtozfe tRhieveYraanngdtzienBthaseinw, etshteerren-imsaost pltarcaenss,iotinonlyzoone,rwiciethhoanrveelostnogcocrutrws opsehroyretarri.ceSsoeuatshonosf,twhehiYchanisgrtzefeeBrraesdint o, tahsetrheeimsaixterdanasreitaioinn tzhoisne, wipthapoenr.eFluorntgheorrstowuoths,hnoeratrrtihcee Nseaansloinngs,Mwohuicnhtaiisnrse,ftehrerreedatroe gasenthereamllyixdeoduabrleeacrionpthseisaspoanpsepr.eFruyretahrer soduuthe,tonethaer atbhuenNdaanncleinogf rMaionufanlltaainnds,htihgheraenanruealgaevneerraaglelytedmopuebrlaetucrreo.pInstehaissopnaspepre,rthyreeaerpdrouveintcoest,he (mcoonvoerc)roanpdpeGduaanregaxiw(ditohub4l6e.-0c0r%oppcleoduadrecaovweirth), 6H5.u4n3%ancl(omuidxecdovaerre).a with 62.39% cloud cover) and Guangxi (double-cropped area with 65.43% cloud cover).', '        In most regions of China, rice has similar phenological and spectral information to that of other crops, especially maize [                   ].', 'On the other hand, the phenological information of rice planting in China']
ZHAO, CHEN et al. - EVALUATION OF THREE DEEP LEARNING	False	Evaluation of Three Deep Learning Models for Early Crop Classification Using Sentinel-1A Imagery Time Series-A Case Study in Zhanjiang, China	Zhanjiang, China	['3. Methodology']			
ZHOU, LUO et al. - DCNBASED SPATIAL FEATURES FOR IMPROVING	True	DCN-Based Spatial Features for Improving Parcel-Based Crop Classification Using High-Resolution Optical Images and Multi-Temporal SAR Data		['2. Methods', '2.1. Study Area and Dataset']	Hunan Province, China,	Hunan Province, China,	['2019, 11, x FOR PEER REVIEW 4 of 22 The study area is in the northern region of Hunan Province, China, with central coordinates of 111 500E aTnhde s2t9ud4y30aNrea(Fisigiunrtehe2)n.oTrhtheesrnturdeygioanreoaf, HcouvnearninPgroavtiontcael, aCrheianao,fw12it1h0ckenmtr2a,lccoonotradininsahteislloyfareas in the11n1o°5r0th′E, aflnadtl2a9n°d43s′ Nin(Fthigeumrei2d).wTehsets,taunddy awreeat,laconvdesriinngtahteoteaalsatr.eaItoifs1c2h10arkamct2,ecroiznetadinbsyhiallsyuabretraospical humiidn tmheonnosrotohn,flcaltilmanadtse,inwthitehmaindwanesnt,uaanldavweertalagnedsteimntpheereaatustr.eItoisf c1h6a.7ractCer,izaenddbaynaasnunbturoapliacvalerage rainfahlulmoifd12m0o0nmsomon tcoli1m9a0t0e, mwmith.']
ZHOU, PAN et al. - MAPPING WINTER WHEAT WITH MULTITEMPORAL	True	Mapping Winter Wheat with Multi-Temporal SAR and Optical Images in an Urban Agricultural Region		['2.1. Study Area', 'The study site is located in a typical urban agricultural region in Gaochun District of Nanjing,', '3. Methods']	Gaochun District of Nanjing,; Jiangsu province, China,; Jiangsu province, China,; China,; Southern China; China,; Southern China; ESA (European Space Agency),	Gaochun District of Nanjing,; Jiangsu province, China,; Jiangsu province, China,; China,; Southern China; China,; Southern China	['The study site is located in a typical urban agricultural region in Gaochun District of Nanjing,', 'the capital of Jiangsu province, China, with central coordinates of 118 52’ E and 31 19’ N (see Figure 1).', 'the capital of Jiangsu province, China, with central coordinates of 118°52’ E and 31°19’ N (see Figure 2 The area, covering a total area of 802 km with an annual average 1).', 'Although the study area is not the main crop area in China, it is a representative urban agricultural region in Southern China due to its abundant production area in China, it is a representative urban agricultural region in Southern China due to its rainfall and complex crop planting structure.']
